video_id,title,published_at,estimatedMinutesWatched,views,likes,subscribersGained,comments,averageViewDuration,cardClicks,cardTeaserClicks,cardImpressions
uO9Vln0BaLc,"Дудл-видео на румынском языке для компании ""Топ Профиль"" | Рисованное видео RomanSergeevCom",2018-06-06T21:46:37Z,1,1,0,0,0,72,0,0,0
HurqvgSyYw4,Второй паспорт - Германия | Рисованное дудл видео от RomanSergeev.Com,2018-08-15T23:25:24Z,4,4,1,0,0,70,0,0,0
__07h3uSH7g,Сварочный агрегат DLW-400LSW | Моушн-дизайн видео,2020-12-30T19:40:11Z,18,30,0,1,0,37,0,0,0
eX_fZHN4MnI,Рисованное дудл видео для бизнеса | RomanSergeevCom,2018-06-07T14:44:25Z,57,61,1,0,0,56,0,0,0
6OfhVnLyTAk,Новотелеком. Интернет на большой скорости _ Instagram | Моушн-дизайн видео,2019-04-02T13:20:50Z,2,11,0,0,0,15,0,0,0
ALWGUkNDUjk,Александр Махров - экспертное видео | Дудл видео для бизнеса,2019-08-20T21:49:11Z,9,11,1,0,0,53,0,0,0
Mv5Sb3GBltg,Apache Kids 15 c | Рисованное дудл видео от RomanSergeev.Com,2018-02-28T20:48:49Z,1,3,0,0,0,33,0,0,0
RVoTo2yRkJk,Уникальный фестиваль-конкурс «НОВЫЙ ФЕСТ»| Дудл видео для бизнеса,2019-01-14T07:53:26Z,0,3,0,0,0,14,0,0,0
9id5CS3ZA1Q,Бизнес-премия Эксперт года - 2018 | Дудл видео для бизнеса,2019-03-27T13:23:26Z,6,8,0,0,0,45,0,0,0
u1iA54hOVIM,Новотелеком. Интернет на большой скорости _ 15 сек | Моушн-дизайн видео,2019-04-02T13:17:18Z,1,4,0,0,0,15,0,0,0
Gev3PGvlUHQ,Deutsch mit Marija _ YouTube Stories | Моушн-дизайн видео,2020-10-20T21:40:28Z,1,3,0,0,0,39,0,0,0
BJMz6POZhtc,"Анимационное видео для компании ""Запасной ключ-2"" | Рисованное видео RomanSergeevCom",2018-06-03T23:19:42Z,2,7,0,0,0,25,0,0,0
y2njpEVOego,Дистрибьютор медицинских изделий | Моушн-дизайн видео,2020-04-14T14:13:38Z,48,68,0,0,0,42,0,0,0
5pO8wUDVNtA,Showreel 2019-2020 | Моушн-дизайн видео,2021-01-18T08:54:28Z,71,84,0,0,0,50,0,0,0
neEGtTBhDoc,Итоги Будь Профи. Азбука Вкуса | Моушн-дизайн видео,2020-12-30T13:38:50Z,38,70,1,1,0,33,0,0,0
kk8Txmb7Xr8,Недвижимость. Группа ТСИ | Рисованное видео для бизнеса,2019-04-02T13:01:57Z,3,7,0,0,0,29,0,0,0
-Qqyp6pOwnA,"Анимационное видео для компании ""Запасной ключ"" | Рисованное видео RomanSergeevCom",2018-06-03T23:17:02Z,1,6,0,0,0,17,0,0,0
xV9R8ISkB4E,Приложение ДиаМаркет _ Instagram | Моушн-дизайн видео,2019-12-17T10:22:56Z,1,5,0,0,0,18,0,0,0
-rhusejHR08,Infopool | Моушн-дизайн видео,2021-03-30T07:45:49Z,1,8,0,0,0,11,0,0,0
Z3lev0rnFNE,Видеопрезентация Ирины Нарчемашвили | Моушн-дизайн видео,2020-03-27T13:45:46Z,40,50,1,0,0,48,0,0,0
NM32OzIIH7I,Новотелеком. Домофон _ Instagram | Моушн-дизайн видео,2019-08-20T22:06:46Z,1,5,0,0,0,16,0,0,0
cpsLcKbcOt4,Центр подологии - вросший ноготь Stories 15 с | Рисованное дудл видео от RomanSergeev.Com,2018-02-28T21:21:51Z,1,4,0,0,0,20,0,0,0
cNIWcKbX0jY,Shooting club. Rules of conduct | Doodle video for business.,2018-11-23T23:35:58Z,5,11,0,0,0,27,0,0,0
06qhDXhfBEg,Зуботека | Отзыв о видео RomanSergeev.Com,2018-06-06T11:26:32Z,9,8,1,0,0,68,0,0,0
U6YhBnyEtfc,Новотелеком. Умная камера _ Instagram | Моушн-дизайн видео,2019-08-20T22:15:40Z,0,3,0,0,0,16,0,0,0
Yny97Kf4dnk,Лучший бизнес-блог года. RomanSergeevCom,2019-04-09T10:37:27Z,1,4,0,0,0,23,0,0,0
i6KlzfW1QXs,Перманентный макияж в StudioLook | Дудл видео для бизнеса,2018-12-08T13:37:56Z,0,2,0,0,0,17,0,0,0
16YnOWDGY08,"Интеллектуальная система ""Умный дом"". Компания ""ИнсталляторПро"" Stories 15с | Дудл видео для бизнеса",2018-09-17T22:27:45Z,0,3,0,0,0,19,0,0,0
zltJOOR_-gY,"Дудл-видео для компании ""Дент-линия"" 1х1 | Рисованное дудл видео от RomanSergeev.Com",2018-06-03T23:11:54Z,0,2,0,0,0,24,0,0,0
vtnI8TGL-kQ,Gyrobike | Живое видео с инфографикой,2022-02-15T13:11:55Z,15,19,0,0,0,49,0,0,0
ueF8mh_220k,Smekalka | Детализированный Моушн-дизайн видео,2022-02-17T09:41:00Z,10,23,0,0,0,27,0,0,0
_sT71FJo5qc,Apache Kids Stories 4x15  | Рисованное дудл видео от RomanSergeev.Com,2018-02-28T20:50:49Z,0,1,0,0,0,51,0,0,0
XFDRnkm6kgk,Финансирование судебных процессов NLF Group _ Instagram | Моушн-дизайн видео,2019-03-11T20:47:03Z,2,3,1,0,0,40,0,0,0
CU07I8KirZs,"Дудл-видео для компании ""ЖК Южный"" 1х1 | Рисованное дудл видео от RomanSergeev.Com",2018-08-19T21:25:31Z,0,1,0,0,0,19,0,0,0
RMAvA3zdbJo,Обзор электромобиля BMW i3,2019-08-09T15:53:23Z,2,4,0,0,0,40,0,0,0
NXsakO-63N8,"Дудл-видео для компании ""Зуботека"" 1х1 | Рисованное дудл видео от RomanSergeev.Com",2018-06-03T23:21:33Z,2,4,0,0,0,35,0,0,0
ZlVVvzFB8l4,YES GROUP | Дудл видео для бизнеса,2022-04-04T14:45:00Z,12,21,0,0,0,35,0,0,0
RlokiuajDaw,Frautest | Моушн-дизайн видео,2022-04-26T12:14:58Z,17,20,0,0,0,51,0,0,0
jPphuc5kE2g,НЛМК. Реализация Стратегии 2022 | Моушн-дизайн видео,2020-12-30T13:39:05Z,5,9,0,0,0,37,0,0,0
_kihPRL3R68,"Дудл-видео для Правового сервиса ""Я прав"" | Рисованное видео RomanSergeevCom",2018-04-21T08:05:44Z,15,44,0,0,0,20,0,0,0
5ZJUMFItPak,VR-решения от Varwin | Живое видео с инфографикой,2022-02-15T13:34:52Z,18,24,0,0,0,46,0,0,0
EaK2W_z8VoM,Showreel 2020 | Моушн-дизайн видео,2021-01-21T12:47:16Z,74,117,0,0,0,38,0,0,0
oqDu9deU75I,Центр подологии - медицинский педикюр 1x1 | Рисованное дудл видео от RomanSergeev.Com,2018-02-28T21:20:02Z,1,3,0,0,0,35,0,0,0
PmsrKg6d6G0,Накопитель VOLTS | Моушн-дизайн видео,2022-02-15T12:49:20Z,9,20,0,0,0,28,0,0,0
90caewbUGHQ,Накопитель VOLTS | Моушн-дизайн видео,2022-02-15T12:45:47Z,6,10,0,0,0,38,0,0,0
E--CV2jpssE,Базар Страховок | Детализированный Моушн-дизайн видео,2019-12-25T10:28:33Z,10,18,0,0,0,34,0,0,0
vfBHo-si7xA,ECOMAX - надёжный партнёр в мире ВЭД | Моушн-дизайн видео,2019-08-20T21:12:23Z,5,3,0,0,0,110,0,0,0
B6jUvWMh6E4,Приложение ДиаМаркет | Моушн-дизайн видео,2019-12-17T10:18:39Z,30,71,0,0,0,26,0,0,0
YM809V6S0O8,Центр подологии - вросший ноготь 1х1 | Рисованное дудл видео от RomanSergeev.Com,2018-02-28T21:23:49Z,4,13,0,0,0,23,0,0,0
aGyyRA_T-XE,Научно-технический центр ПРОТЕЙ | Живое видео с инфографикой,2020-04-14T14:35:57Z,37,53,0,0,0,42,0,0,0
E14wpPE_NVc,Терминал B — Шереметьево Паркинг_Instagram | Моушн-дизайн видео,2019-04-23T11:27:36Z,27,40,0,0,0,41,0,0,0
1DHh1jvAhUY,Иннополис для инвесторов | Детализированный Моушн-дизайн видео,2021-12-28T10:16:13Z,39,57,0,0,0,41,0,0,0
